"english_name","id","major","English","Spanish","German","French","Arabic","Bosnian","Bulgarian","Catalan","Czech","Slavic","Welsh","Danish","Greek","Esperanto","Estonian","Basque","Persian","Finnish","Irish","Hebrew","Hindi","Croatian","Hungarian","Armenian","Indonesian","Icelandic","Italian","Japanese","Korean","Kurdish","Latin","Latvian","Lithuanian","Macedonian","Maltese","Moldavian","Mongolian","Nepali","Dutch","Norwegian Bokmål","Punjabi","Polish","Portuguese, Portugal","Portuguese, Brazil","Quechua","Romanian","Russian","Slovenian","Somali","Albanian","Serbian","Swedish","Tamil","Thai","Turkish","Ukrainian","Urdu","Uzbek","Vietnamese","Yiddish","Chinese (Simplified)","Zulu","Chinese (Traditional)"
"English",1,1,"English","Inglés","Englisch","Anglais","الإنجليزية",,,,,"Angličtina",,,"Αγγλικα",,,,,"englanti",,"אנגלית",,,"angol",,,,"Inglese","英語","영어",,,,,,,,,,"Engels",,,"angielski","Inglês","Inglês",,"Engleză","Английский",,,,,"Engelska",,"อังกฤษ","İngilizce",,,,,,"英语",,"英語"
"Spanish",2,1,"Spanish","Español","Spanisch","Espagnol","الأسبانية",,,,,"Španielčina",,,"Ισπανικα",,,,,"espanja",,"ספרדית",,,"spanyol",,,,"Spagnolo","スペイン語","스페인어",,,,,,,,,,"Spaans",,,"hiszpański","Espanhol","Espanhol",,"Spaniolă","Испанский",,,,,"Spanska",,"สเปน","İspanyolca",,,,,,"西班牙语",,"西班牙語"
"German",3,1,"German","Alemán","Deutsch","Allemand","الألمانية",,,,,"Nemčina",,,"Γερμανικα",,,,,"saksa",,"גרמנית",,,"német",,,,"Tedesco","ドイツ語","독어",,,,,,,,,,"Duits",,,"niemiecki","Alemão","Alemão",,"Germană","Немецкий",,,,,"Tyska",,"เยอรมัน","Almanca",,,,,,"德语",,"德語"
"French",4,1,"French","Francés","Französisch","Français","الفرنسية",,,,,"Francúzština",,,"Γαλλικα",,,,,"ranska",,"צרפתית",,,"francia",,,,"Francese","フランス語","불어",,,,,,,,,,"Frans",,,"francuski","Francês","Francês",,"Franceză","Французский",,,,,"Franska",,"ฝรั่งเศส","Fransızca",,,,,,"法语",,"法語"
"Arabic",5,,"Arabic","Árabe","Arabisch","Arabe","العربية",,,,,"Arabčina",,,"Αραβικα",,,,,"arabia",,"ערבית",,,"arab",,,,"Arabo","アラビア語","아랍어",,,,,,,,,,"Arabisch",,,"arabski","Árabe","Árabe",,"Arabică","Арабский",,,,,"Arabiska",,"อารบิก","Arapça",,,,,,"阿拉伯语",,"阿拉伯語"
"Bosnian",6,,"Bosnian","Bosnio","Bosnisch","Bosnien","البوسنية",,,,,"Bosniačtina",,,"Βοσνιακα",,,,,"bosnia",,"Bosnian",,,"bosnyák",,,,"Bosniaco","ボスニア語","보즈니아어",,,,,,,,,,"Bosnisch",,,"bośniacki","Bósnio","Bósnio",,"Bosniacă","Боснийский",,,,,"Bosniska",,"บอสเนียน","Boşnakça",,,,,,"波斯尼亚语",,"波士尼亞語"
"Bulgarian",7,,"Bulgarian","Búlgaro","Bulgarisch","Bulgare","البلغارية",,,,,"Bulharčina",,,"Βουλγαρικα",,,,,"bulgaria",,"Bulgarian",,,"bolgár",,,,"Bulgaro","ブルガリア語","불가리아어",,,,,,,,,,"Bulgaars",,,"bułgarski","Búlgaro","Búlgaro",,"Bulgară","Болгарский",,,,,"Bulgariska",,"บัลแกเรียน","Bulgarca",,,,,,"保加利亚语",,"保加利亞語"
"Catalan",8,,"Catalan","Catalán","Katalanisch","Catalan","الكاتالوينية",,,"Català",,"Katalánčina",,,"Καταλανικα",,,,,"katalaani",,"Catalan",,,"katalán",,,,"Catalano","カタルーニャ語","카탈로니아어",,,,,,,,,,"Catalaans",,,"kataloński","Catalão","Catalão",,"Catalană","Каталанский",,,,,"Katalanska",,"คะตะลาน","Katalan dili",,,,,,"加泰罗尼亚语",,"加泰羅尼亞語"
"Czech",9,,"Czech","Checo","Tschechisch","Tchèque","التشيكية",,,,"Čeština","Čeština",,,"Τσεχικη",,,,,"tsekki",,"Czech",,,"cseh",,,,"Ceco","チェコ語","체코슬로바키아어",,,,,,,,,,"Tsjechisch",,,"czeski","Checa","Checa",,"Cehă","Чешский",,,,,"Tjeckiska",,"เช็ก","Çekçe",,,,,,"捷克语",,"捷克語"
"Slavic",10,,"Slavic","Eslavo","Slawisch","Slave","السلافية",,,,,"Slávčina",,,"Σλαβικη",,,,,"slaavi",,"Slavic",,,"szláv",,,,"Slavo","スラヴ語派","슬라브어",,,,,,,,,,"Slavisch",,,"słowiański","Eslava","Eslava",,"Slavă","Славянский",,,,,"Slavisk",,"สลาวิก","Slav dili",,,,,,"斯拉夫语",,"斯拉夫語"
